geography_name, rai_cityadjusted_total_2011_q2, rai_cityadjusted_total_2011_q3, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2011_q1, state, rai_cityadjusted_total_2020_q3, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2011_q4, rai_cityadjusted_total_2020_q4, city, unique_id, rai_cityadjusted_total_2017_q4, rai_cityadjusted_total_2017_q3, rai_cityadjusted_total_2017_q2, rai_cityadjusted_total_2018_q1, rai_cityadjusted_total_2018_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2013_q1, rai_cityadjusted_total_2021_q1, rai_cityadjusted_total_2013_q3, rai_cityadjusted_total_2013_q2, rai_cityadjusted_total_2013_q4, rai_cityadjusted_total_2017_q1, rai_cityadjusted_total_2018_q4, rai_cityadjusted_total_2018_q3, rai_cityadjusted_total_2019_q3, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2016_q3, rai_cityadjusted_total_2016_q4, rai_cityadjusted_total_2016_q1, rai_cityadjusted_total_2016_q2, rai_cityadjusted_total_2012_q2, rai_cityadjusted_total_2015_q2, rai_cityadjusted_total_2012_q1, rai_cityadjusted_total_2015_q3, rai_cityadjusted_total_2012_q4, rai_cityadjusted_total_2014_q3, rai_cityadjusted_total_2012_q3, rai_cityadjusted_total_2014_q4, rai_cityadjusted_total_2015_q1, rai_cityadjusted_total_2014_q1, rai_cityadjusted_total_2014_q2, rai_cityadjusted_total_2015_q4
"3000",98.33916,98.33916,109.6154,93.91771,"VIC",144.2308,109.6154,137.0192,100.6261,164.8352,"Greater Melbourne",1310,105.9655,108.1731,103.8462,108.3989,105.9655,164.8352,100.3344,160.2564,108.5973,107.3345,114.8106,110.4746,103.8462,104.8951,112.0812,109.6154,105.9655,108.9744,106.6054,108.9744,108.9744,95.09721,102.5641,97.23423,102.5641,103.7165,107.3345,96.15385,107.3345,102.7925,102.5641,102.5641,114.0429
"3003",97.23423,100.6261,107.4661,88.7574,"VIC",144.2308,109.6154,121.7949,81.64006,152.0219,"Greater Melbourne",1312,108.1731,116.6811,115.3846,108.1731,112.8763,160.2564,100.1711,153.8462,102.5641,97.16599,102.5641,120.7513,118.007,108.1731,118.5031,110.7226,112.8763,108.9744,108.9744,114.0429,111.451,89.21491,102.5641,94.06355,103.7165,100.3344,107.3345,90.14423,102.5641,102.5641,113.9601,99.25558,119.606
"3004",89.21491,88.30455,103.4107,84.13462,"VIC",130.3781,105.3994,111.8524,99.4695,135.7466,"Greater Melbourne",1313,99.85207,103.8462,102.818,101.81,97.96807,140.7129,96.15385,137.3626,93.71339,98.19967,98.19967,97.96807,99.85207,126.6417,107.4661,99.65035,103.8462,99.0676,101.1102,102.1635,100.0785,89.67716,95.16257,86.53846,96.15385,94.19152,98.19967,90.14423,97.16599,96.15385,102.5641,97.16599,102.1635
"3005",null,null,null,null,"VIC",null,null,null,null,null,"Greater Melbourne",1314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3006",81.64006,78.67133,99.65035,77.66272,"VIC",144.2308,99.65035,121.7949,83.21006,146.0565,"Greater Melbourne",1315,97.96807,94.40559,96.15385,94.40559,96.15385,144.2308,88.7574,144.2308,92.30769,97.16599,92.30769,96.15385,94.40559,94.40559,97.00477,99.65035,92.71978,89.16084,92.5254,89.16084,91.23435,79.39308,88.7574,81.64006,87.91209,88.7574,88.7574,81.64006,90.49774,87.08273,90.49774,90.49774,98.07692
"3008",77.26648,83.21006,95.31773,74.78632,"VIC",135.7466,97.87088,105.3994,79.39308,144.2308,"Greater Melbourne",1316,96.15385,92.71978,96.15385,94.40559,92.71978,144.2308,88.7574,144.2308,89.18618,87.08273,96.15385,97.96807,99.85207,88.00522,96.15385,91.34615,86.53846,96.15385,98.07692,89.16084,89.16084,78.67133,88.33272,82.41758,90.49774,92.30769,89.61912,88.30455,92.30769,90.49774,93.24009,94.19152,96.15385
